Model Number,Case Style,Subcategories,F Low (MHz),F High (MHz),Gain (dB) Typ.,NF (dB) Typ.,Power Out (dBm) @ 1dB Comp. Typ.,Out. IP3 (dBm) Typ.,Input VSWR (:1) Typ.,Output VSWR (:1) Typ.,Voltage (V),DC Current (mA),Connector Type,Option,Interface,Impedance (Ohms),
AVA-0233LN+,DG1677-4,Low Noise Amplifier,2000,30000,17,2.2,13.5,25.7,1.33,1.22,5,65,-,-,SMT,50,N
CMA-83LN+,DL1721,Low Noise Amplifier,500,8000,21.5,1.3,20.3,30.1,1.32,1.31,5.0/6.0,50/62,-,-,SMT,50,N
CMA-103+,DL1721,Low Noise Amplifier,50,4000,11.0,0.8,23.1,44.8,1.38,1.36,3.0/5.0,60/97,-,-,SMT,50,N
CMA-162LN+,DL1721,Low Noise Amplifier,700,1600,23.2,0.49,19.9,30.3,1.4,1.2,4,55,-,-,SMT,50,Y
CMA-252LN+,DL1721,Low Noise Amplifier,1500,2500,16.8,1,17.8,30,1.5,1.3,4,57,-,-,SMT,50,Y
CMA-545+,DL1721,Low Noise Amplifier,50,6000,14.2,0.8,20,35,2.3,1.5,3,80,-,-,SMT,50,Y
CMA-545G1+,DL1721,Low Noise Amplifier,400,2200,31.8,0.9,23.3,36.5,1.9,1.4,5,158,-,-,SMT,50,Y
CMA-5043+,DL1721,Low Noise Amplifier,50,4000,18.4,0.75,19.8,33.5,1.7,1.5,5,58,-,-,SMT,50,Y
GALI-39+,DF782,Low Noise Amplifier,DC,7000,19.7,2.4,9,22.9,1.6,1.5,3.5,35,-,-,SMT,50,Y
GALI-52+,DF782,Low Noise Amplifier,DC,2000,17.8,2.7,15.5,32,1.35,1.4,4.4,50,-,-,SMT,50,Y
GALI-74+,DF782,Low Noise Amplifier,DC,1000,21.8,2.7,18.3,38,1.2,1.6,4.8,80,-,-,SMT,50,Y
GALI-S66+,DF782,Low Noise Amplifier,DC,3000,18.2,2.4,3.3,19.1,1.1,1.2,3.5,16,-,-,SMT,50,Y
LEE-39+,FG873,Low Noise Amplifier,DC,8000,20.8,2.4,10.4,23.4,1.3,1.3,3.5,35,-,-,SMT,50,Y
LEE2-6+,MC1630-1,Low Noise Amplifier,DC,7000,18.9,2.3,2.8,17.6,1.33,1.54,3.6,16,-,-,SMT,50,Y
LHA-13HLN+,DQ1225,Low Noise Amplifier,1,1000,22.7,1.2,28,43.3,1.28,1.32,8,239,-,-,SMT,50,N
LHA-13LN+,DQ1225,Low Noise Amplifier,1,1000,22.4,1.1,23.3,38.3,1.28,1.28,5/3,143/73,-,-,SMT,50,N
LHA-23HLN+,DQ1225,Low Noise Amplifier,30,2000,21.5,1.3,28.3,44.7,1.9,1.5,8,244,-,-,SMT,50,Y
